inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
6433650862,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemui.xml","xml",65534,65534,5275,59,96,1,"0100770",1438363513,1438363513,1610038218,-1,0
6433650865,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemui.msi","msi",65534,65534,4038656,59,10912,1,"0100770",1438366762,1438366762,1610038218,-1,0
6433650868,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officemuiset.msi","msi",65534,65534,1060864,59,2640,1,"0100770",1438366768,1438366768,1610038218,-1,0
6433650871,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/branding.xml","xml",65534,65534,336313,59,1232,1,"0100770",1438229218,1438229218,1610038219,-1,0
6433650874,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/officelr.cab","cab",65534,65534,11706866,59,30704,1,"0100770",1438367964,1438367964,1610038219,-1,0
6433650877,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/setup.chm","chm",65534,65534,82790,59,576,1,"0100770",1434009913,1434009913,1610038219,-1,0
6433650880,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/setup.xml","xml",65534,65534,8483,59,144,1,"0100770",1438377428,1438377428,1610038219,-1,0
6441313872,6433650852,3,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us/pss10r.chm","chm",65534,65534,14598,59,144,1,"0100770",1432792342,1432792342,1610038219,-1,0
6433650852,6433650505,2,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/office.en-us","",65534,65534,361,59,64,2,"0040770",1610038219,1610038219,1610038232,12,17488889
6441313732,6433650631,4,"/home/dsimsb/groups/RDNFTS/Office/Office 2016 Professional/admin/ru-ru/access16.opal","opal",65534,65534,130816,59,816,1,"0100770",1438236823,1438236823,1610038195,-1,0
