inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
8187686309,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writera6ad56c2-b509-4e6c-bb19-49d8f43532f0.xml","xml",65534,65534,1484,59,48,1,"0100770",1690273962,1690273962,1690273962,-1,0
8187686312,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Components.xml","xml",65534,65534,12462,59,144,1,"0100770",1690273964,1690273964,1690273964,-1,0
8187686311,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/BackupSpecs.xml","xml",65534,65534,1274,59,48,1,"0100770",1690273962,1690273962,1690273963,-1,0
5961095654,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/5072dc22-8a78-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,333447168,59,714288,1,"0100770",1690273967,1690273967,1690273967,-1,0
8187686310,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writer4969d978-be47-48b0-b100-f328f07ac1e0.xml","xml",65534,65534,1196,59,48,1,"0100770",1690273962,1690273962,1690273962,-1,0
5960898991,5961095652,4,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513","",65534,65534,1617,59,64,2,"0040770",1690273965,1690273965,1690273965,18,61282812496
8187686313,5960369378,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Catalog/BackupGlobalCatalog","",65534,65534,1597046,59,3680,1,"0100770",1690273964,1690273964,1690273968,-1,0
8185723207,5960369378,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Catalog/GlobalCatalog","",65534,65534,1595922,59,3680,1,"0100770",1690273968,1690273968,1690273968,-1,0
5960369378,5961095652,4,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Catalog","",65534,65534,68,59,64,2,"0040770",1690273968,1690273968,1690273968,2,3192968
8185853328,5963514839,5,"/home/dsimsb/groups/dcback/research.computing/Monday/WindowsImageBackup/capaldi/Backup 2023-07-24 081512/8f9a1a04-5f34-47a7-adb3-5f311bd19774_Writer2707761b-2324-473d-88eb-eb007a359533.xml","xml",65534,65534,2328,59,48,1,"0100770",1690187129,1690187129,1690187129,-1,0
